division_num,im_size,batch_size,lr,krnl_2,num_epochs,tr_data_ave,tr_data_std,tr_acc,,tes_data_ave,tes_data_std,tes_acc,div_time
0,64,188,0.005000345,12,3,-0.000608772,0.007621631,97,,0.000794111,0.005896074,97,121.6418285
1,64,202,0.001223749,3,3,-0.002841289,0.00651968,99,,0.000794111,0.005896074,98,115.861155
2,64,363,0.00183834,19,3,-0.000984061,0.003929366,98,,0.000794111,0.005896074,98,163.1652205
3,64,148,0.000101,2,3,-0.00229241,0.009468147,98,,0.000794111,0.005896074,98,162.3493898
4,64,83,0.003895593,11,3,-0.00561781,0.016393926,97,,0.000794111,0.005896074,97,164.7593482
5,64,120,0.004468224,4,3,0.001026018,0.011980915,97,,0.000794111,0.005896074,98,162.6907496
6,64,280,0.001526608,9,3,0.000386208,0.005265228,98,,0.000794111,0.005896074,96,157.9826097
7,64,328,0.006396166,18,3,-0.001678799,0.004184349,96,,0.000794111,0.005896074,96,157.1999419
8,64,372,0.000403816,6,3,-0.000260133,0.004078408,98,,0.000794111,0.005896074,96,160.2566884
9,64,112,0.000975455,18,3,-0.003661583,0.012291688,99,,0.000794111,0.005896074,98,161.8373713
10,64,302,0.009549301,15,3,-0.000672452,0.004742829,93,,0.000794111,0.005896074,96,116.0916281
11,64,253,0.009682182,8,3,-0.00056739,0.005710772,89,,0.000794111,0.005896074,96,116.7403505
12,64,155,0.00065805,6,3,0.001604,0.009259184,98,,0.000794111,0.005896074,95,157.8759079
13,64,209,0.00453959,7,3,-0.000314373,0.006927995,97,,0.000794111,0.005896074,97,160.6285884
14,64,190,0.008334363,16,3,-0.001712746,0.007436922,97,,0.000794111,0.005896074,98,159.6302726
15,64,274,0.00214915,2,3,0.000208004,0.005257094,99,,0.000794111,0.005896074,99,161.1714611
16,64,298,0.008157504,14,3,0.00023015,0.00503729,63,,0.000794111,0.005896074,92,163.1333506
17,64,126,0.007738503,13,3,-0.000971441,0.011445947,97,,0.000794111,0.005896074,97,160.7994008
18,64,71,0.005827724,16,3,0.004823049,0.019819697,96,,0.000794111,0.005896074,73,163.241868
19,64,314,0.000335903,20,3,-0.000675839,0.004731432,98,,0.000794111,0.005896074,97,152.0719752
20,64,150,0.003611122,9,3,-0.001884466,0.00935058,97,,0.000794111,0.005896074,98,170.1082063
21,64,307,0.00863866,7,3,-7.89E-05,0.004801818,93,,0.000794111,0.005896074,86,164.2607107
22,64,93,0.006524374,18,3,-0.005102197,0.014593869,93,,0.000794111,0.005896074,92,158.7107043
23,64,77,0.003388075,17,3,-0.003462735,0.018261991,98,,0.000794111,0.005896074,97,162.2636702
24,64,345,0.006018288,10,3,-0.00085752,0.004197992,92,,0.000794111,0.005896074,91,159.6908324
25,64,340,0.002312397,4,3,0.00050946,0.004294446,98,,0.000794111,0.005896074,98,158.0461633
26,64,397,0.005453927,12,3,8.24E-05,0.003842117,97,,0.000794111,0.005896074,96,157.0775511
27,64,332,0.009738271,5,3,-5.77E-05,0.004536693,82,,0.000794111,0.005896074,77,159.3720114
28,64,58,0.008255073,12,3,0.00104644,0.024764534,96,,0.000794111,0.005896074,96,157.0200746
29,64,234,0.002889651,8,3,0.000206626,0.006239048,98,,0.000794111,0.005896074,95,160.0869734
30,64,391,0.006746293,7,3,-0.000373838,0.003804793,92,,0.000794111,0.005896074,85,159.4276571
31,64,214,0.003239444,15,3,-0.002396889,0.006425239,97,,0.000794111,0.005896074,98,153.6467967
32,64,338,0.009929652,11,3,-0.001654997,0.003931564,74,,0.000794111,0.005896074,53,150.046221
33,64,68,0.000731077,17,3,-0.002061808,0.021181667,98,,0.000794111,0.005896074,96,160.8842673
34,64,380,0.002522542,6,3,0.000610523,0.003786032,97,,0.000794111,0.005896074,93,157.1519763
35,64,359,0.007634912,14,3,0.00013855,0.004068798,97,,0.000794111,0.005896074,96,155.5054297
36,64,245,0.000854085,2,3,0.000396164,0.005993761,98,,0.000794111,0.005896074,96,150.2391298
37,64,173,0.00488328,17,3,0.001564875,0.008250678,97,,0.000794111,0.005896074,96,154.7625208
38,64,138,0.007517859,14,3,-0.002031436,0.010274953,93,,0.000794111,0.005896074,88,154.7096527
39,64,287,0.006894246,19,3,-0.001126713,0.004895591,97,,0.000794111,0.005896074,96,158.030432
40,64,51,0.001288563,4,3,0.002069441,0.028110188,98,,0.000794111,0.005896074,99,170.1330478
41,64,143,0.003945645,19,3,-0.002354093,0.009734928,98,,0.000794111,0.005896074,95,156.0445516
42,64,353,0.003072188,10,3,0.000926402,0.003987444,97,,0.000794111,0.005896074,94,161.4959817
43,64,235,0.004217562,13,3,0.000247128,0.006224426,98,,0.000794111,0.005896074,99,156.9903483
44,64,182,0.005585472,7,3,-0.001707637,0.007685291,95,,0.000794111,0.005896074,88,152.2115943
45,64,198,0.001509388,3,3,-0.001367606,0.007288913,98,,0.000794111,0.005896074,98,149.5689046
46,64,130,0.00880477,18,3,-0.000182571,0.011237175,96,,0.000794111,0.005896074,96,165.1684296
47,64,365,0.006179478,5,3,4.72E-05,0.004058805,82,,0.000794111,0.005896074,92,155.8654063
48,64,379,0.001730147,8,3,0.00031342,0.003844944,98,,0.000794111,0.005896074,97,151.5474038
49,64,224,0.005056902,13,3,-0.000286487,0.006461271,94,,0.000794111,0.005896074,92,155.7688079
50,64,386,0.009399077,20,3,-0.001069422,0.003651952,95,,0.000794111,0.005896074,95,151.2928843
51,64,175,0.007258206,11,3,-0.00084365,0.008258281,92,,0.000794111,0.005896074,91,155.9482677
52,64,169,0.006827554,20,3,-0.003196948,0.00794032,98,,0.000794111,0.005896074,97,155.2909486
53,64,104,0.004083917,6,3,-0.000120743,0.013849354,97,,0.000794111,0.005896074,96,154.688472
54,64,97,0.002670514,9,3,-0.000235325,0.014795949,98,,0.000794111,0.005896074,97,160.2871759
55,64,321,0.00526879,14,3,-0.000383351,0.004522598,94,,0.000794111,0.005896074,88,149.6521797
56,64,292,0.002450464,2,3,-0.001353969,0.004825514,99,,0.000794111,0.005896074,98,155.1362417
57,64,229,0.002939056,16,3,0.000738686,0.006465186,97,,0.000794111,0.005896074,97,154.3723781
58,64,316,0.008905224,10,3,0.000264255,0.004567104,90,,0.000794111,0.005896074,93,164.2724645
59,64,215,0.008481392,17,3,-0.001560958,0.006481239,96,,0.000794111,0.005896074,97,153.2246618
60,64,240,0.007320365,9,3,-0.002037397,0.005582163,95,,0.000794111,0.005896074,96,155.6620879
61,64,109,0.009220714,8,3,0.000844929,0.013449839,69,,0.000794111,0.005896074,93,157.2317326
62,64,258,0.001968006,20,3,-3.43E-05,0.005751701,98,,0.000794111,0.005896074,96,153.6852851
63,64,88,0.004703193,15,3,-0.001610914,0.016438205,97,,0.000794111,0.005896074,97,154.3201668
64,64,62,0.005637042,10,3,-0.001634776,0.022985185,93,,0.000794111,0.005896074,91,151.6158705
65,64,276,0.00909621,4,3,0.000101469,0.005276311,95,,0.000794111,0.005896074,95,157.974016
66,64,263,0.00621843,15,3,-0.001061134,0.00538629,97,,0.000794111,0.005896074,98,149.5338013
67,64,116,0.003639047,13,3,0.001779465,0.012328365,97,,0.000794111,0.005896074,95,155.1000042
68,64,161,0.007097419,3,3,-0.000433678,0.00909206,55,,0.000794111,0.005896074,46,157.6306691
69,64,266,0.007959198,4,3,-0.001354602,0.005338533,57,,0.000794111,0.005896074,53,153.7387156
